#meta:tz=Africa/Cairo|America/Adak|America/Anchorage|America/Boise|America/Chicago|America/Costa_Rica|America/Denver|America/Detroit|America/Hermosillo|America/Indiana/Indianapolis|America/Indiana/Knox|America/Indiana/Marengo|America/Indiana/Petersburg|America/Indiana/Tell_City|America/Indiana/Vevay|America/Indiana/Vincennes|America/Indiana/Winamac|America/Kentucky/Louisville|America/Kentucky/Monticello|America/Los_Angeles|America/Menominee|America/Moncton|America/New_York|America/Nome|America/North_Dakota/New_Salem|America/Panama|America/Phoenix|America/Puerto_Rico|America/St_Thomas|America/Tegucigalpa|Asia/Bahrain|Asia/Bangkok|Asia/Bishkek|Asia/Manila|Asia/Riyadh|Asia/Seoul|Asia/Tokyo|Australia/Darwin|Etc/GMT+11|Etc/GMT+12|Etc/GMT+5|Europe/Berlin|Europe/London|Europe/Madrid|Europe/Rome|Pacific/Chuuk|Pacific/Guam|Pacific/Honolulu|Pacific/Kwajalein|Pacific/Majuro|Pacific/Midway|Pacific/Palau|Pacific/Saipan;admin=---:---|AA:U.S. Armed Forces - Americas|AE:U.S. Armed Forces - Europe|AK:Alaska|AL:Alabama|AP:U.S. Armed Forces - Pacific|AR:Arkansas|AS:American Samoa|AZ:Arizona|CA:California|CO:Colorado|CT:Connecticut|DC:District of Columbia|DE:Delaware|FL:Florida|FM:Micronesia|GA:Georgia|GU:Guam|HI:Hawaii|IA:Iowa|ID:Idaho|IL:Illinois|IN:Indiana|KS:Kansas|KY:Kentucky|LA:Louisiana|MA:Massachusetts|MD:Maryland|ME:Maine|MH:Marshall Islands|MI:Michigan|MN:Minnesota|MO:Missouri|MP:Northern Mariana Islands|MS:Mississippi|MT:Montana|NC:North Carolina|ND:North Dakota|NE:Nebraska|NH:New Hampshire|NJ:New Jersey|NM:New Mexico|NV:Nevada|NY:New York|OH:Ohio|OK:Oklahoma|OR:Oregon|PA:Pennsylvania|PR:Puerto Rico|PW:Palau|RI:Rhode Island|SC:South Carolina|SD:South Dakota|TN:Tennessee|TX:Texas|UT:Utah|VA:Virginia|VI:U.S. Virgin Islands|VT:Vermont|WA:Washington|WI:Wisconsin|WV:West Virginia|WY:Wyoming;levels=State|County
Code,Name,Timezone,IsDefault,Admin1,Admin1Code
"00940","Santurce",27,false,48,48
"00949","Toa Baja",27,true,48,48
"00949","Levittown",27,false,48,48
"00950","Toa Baja",27,true,48,48
"00951","Toa Baja",27,true,48,48
"00952","Sabana Seca",27,true,48,48
"00953","Toa Alta",27,true,48,48
"00954","Toa Alta",27,true,48,48
"00955","San Juan",27,true,48,48
"00956","Bayamon",27,true,48,48
"00957","Bayamon",27,true,48,48
"00958","Bayamon",27,true,48,48
"00959","Bayamon",27,true,48,48
"00960","Bayamon",27,true,48,48
"00961","Bayamon",27,true,48,48
"00962","Catano",27,true,48,48
"00963","Catano",27,true,48,48
"00965","Guaynabo",27,true,48,48
"00966","Guaynabo",27,true,48,48
"00968","Guaynabo",27,true,48,48
"00969","Guaynabo",27,true,48,48
"00970","Guaynabo",27,true,48,48
"00971","Guaynabo",27,true,48,48
"00975","San Juan",27,true,48,48
"00976","Trujillo Alto",27,true,48,48
"00976","Trujillo",27,false,48,48
"00977","Trujillo Alto",27,true,48,48
"00977","Trujillo",27,false,48,48
"00978","Saint Just",27,true,48,48
"00979","Carolina",27,true,48,48
"00981","Carolina",27,true,48,48
"00982","Carolina",27,true,48,48
"00983","Carolina",27,true,48,48
"00984","Carolina",27,true,48,48
"00985","Carolina",27,true,48,48
"00986","Carolina",27,true,48,48
"00987","Carolina",27,true,48,48
"00988","Carolina",27,true,48,48
"01001","Agawam",22,true,26,26
"01002","Amherst",22,true,26,26
"01002","Cushman",22,false,26,26
"01002","Pelham",22,false,26,26
"01003","Amherst",22,true,26,26
"01004","Amherst",22,true,26,26
"01005","Barre",22,true,26,26
"01007","Belchertown",22,true,26,26
"01008","Blandford",22,true,26,26
"01009","Bondsville",22,true,26,26
"01010","Brimfield",22,true,26,26
"01011","Chester",22,true,26,26
"01012","Chesterfield",22,true,26,26
"01013","Chicopee",22,true,26,26
"01013","Willimansett",22,false,26,26
"01014","Chicopee",22,true,26,26
"01020","Chicopee",22,true,26,26
"01021","Chicopee",22,true,26,26
"01022","Chicopee",22,true,26,26
"01022","Westover Afb",22,false,26,26
"01026","Cummington",22,true,26,26
"01027","Mount Tom",22,false,26,26
"01027","Westhampton",22,false,26,26
"01027","E Hampton",22,true,26,26
"01027","Easthampton",22,false,26,26
"01028","E Longmeadow",22,true,26,26
"01028","East Longmeadow",22,false,26,26
"01029","East Otis",22,true,26,26
"01030","Feeding Hills",22,true,26,26
"01031","Gilbertville",22,true,26,26
"01032","Goshen",22,true,26,26
"01033","Granby",22,true,26,26
"01034","Granville",22,true,26,26
"01034","Tolland",22,false,26,26
"01035","Hadley",22,true,26,26
"01036","Hampden",22,true,26,26
"01037","Hardwick",22,true,26,26
"01038","Hatfield",22,true,26,26
"01039","Haydenville",22,true,26,26
"01039","West Whately",22,false,26,26
"01040","Holyoke",22,true,26,26
"01041","Holyoke",22,true,26,26
"01050","Huntington",22,true,26,26
"01050","Montgomery",22,false,26,26
"01052","Huntington",22,true,26,26
"01053","Leeds",22,true,26,26
"01054","Leverett",22,true,26,26
"01056","Ludlow",22,true,26,26
"01057","Monson",22,true,26,26
"01059","Amherst",22,true,26,26
"01059","North Amherst",22,false,26,26
"01060","Northampton",22,true,26,26
"01061","Northampton",22,true,26,26
"01062","Northampton",22,false,26,26
"01062","Florence",22,false,26,26
"01062","Bay State Village",22,true,26,26
"01062","Bay State Vlg",22,false,26,26
"01063","Northampton",22,true,26,26
"01066","N Hatfield",22,true,26,26
"01066","North Hatfield",22,false,26,26
"01068","Oakham",22,true,26,26
"01069","Palmer",22,true,26,26
"01070","Plainfield",22,true,26,26
"01071","Russell",22,true,26,26
"01072","Shutesbury",22,true,26,26
"01073","Southampton",22,true,26,26
"01074","South Barre",22,true,26,26
"01075","South Hadley",22,true,26,26
"01077","Southwick",22,true,26,26
"01079","Thorndike",22,true,26,26
"01080","Three Rivers",22,true,26,26
"01081","Wales",22,true,26,26
"01082","Hardwick",22,true,26,26
"01082","Ware",22,false,26,26
"01083","Warren",22,true,26,26
"01084","W Chesterfld",22,true,26,26
"01084","West Chesterfield",22,false,26,26
"01085","Montgomery",22,true,26,26
"01085","Westfield",22,false,26,26
"01086","Westfield",22,true,26,26
"01088","W Hatfield",22,true,26,26
"01088","West Hatfield",22,false,26,26
"01089","West Springfield",22,false,26,26
"01089","W Springfield",22,true,26,26
"01090","W Springfield",22,true,26,26
"01090","West Springfield",22,false,26,26
"01092","West Warren",22,true,26,26
"01093","Whately",22,true,26,26
"01094","Wheelwright",22,true,26,26
"01095","Wilbraham",22,true,26,26
"01096","Williamsburg",22,true,26,26
"01097","Woronoco",22,true,26,26
"01098","Worthington",22,true,26,26
"01101","Springfield",22,true,26,26
"01102","Springfield",22,true,26,26
"01103","Springfield",22,true,26,26
"01104","Springfield",22,true,26,26
"01105","Springfield",22,true,26,26
"01106","Longmeadow",22,true,26,26
"01106","Springfield",22,false,26,26
"01107","Springfield",22,true,26,26
"01108","Springfield",22,true,26,26
"01109","Springfield",22,true,26,26
"01111","Springfield",22,true,26,26
"01115","Springfield",22,true,26,26
"01116","E Longmeadow",22,true,26,26
"01116","Longmeadow",22,false,26,26
"01118","Springfield",22,true,26,26
"01119","Springfield",22,true,26,26
"01125","Boston",22,true,26,26
"01128","Springfield",22,true,26,26
"01129","Springfield",22,true,26,26
"01133","Springfield",22,true,26,26
"01138","Springfield",22,true,26,26
"01139","Springfield",22,true,26,26
"01144","Springfield",22,true,26,26
"01151","Indian Orch",22,true,26,26
"01151","Indian Orchard",22,false,26,26
"01151","Springfield",22,false,26,26
"01152","Springfield",22,true,26,26
"01180","Wakefield",22,true,26,26
"01195","Springfield",22,true,26,26
"01199","Springfield",22,true,26,26
"01201","Pittsfield",22,true,26,26
"01202","Pittsfield",22,true,26,26
"01203","Pittsfield",22,true,26,26
"01220","Adams",22,true,26,26
"01222","Ashley Falls",22,true,26,26
"01223","Becket",22,true,26,26
"01223","Washington",22,false,26,26
"01224","Berkshire",22,true,26,26
"01224","Lanesborough",22,false,26,26
"01225","Cheshire",22,true,26,26
"01226","Dalton",22,true,26,26
"01227","Dalton",22,true,26,26
"01229","Glendale",22,true,26,26
"01230","Simons Rock",22,false,26,26
"01230","North Egremont",22,false,26,26
"01230","New Marlborough",22,false,26,26
"01230","New Marlborou",22,false,26,26
"01230","Great Barrington",22,false,26,26
"01230","Gt Barrington",22,false,26,26
"01230","New Marlboro",22,false,26,26
"01230","Egremont",22,true,26,26
"01235","Hinsdale",22,true,26,26
"01235","Peru",22,false,26,26
"01236","Housatonic",22,true,26,26
"01237","Hancock",22,true,26,26
"01237","Lanesborough",22,false,26,26
"01237","New Ashford",22,false,26,26
"01238","Lee",22,true,26,26
"01240","Lenox",22,true,26,26
"01242","Lenox Dale",22,true,26,26
"01243","Middlefield",22,true,26,26
"01244","Mill River",22,true,26,26
"01245","Monterey",22,true,26,26
"01245","West Otis",22,false,26,26
"01247","Clarksburg",22,true,26,26
"01247","Florida",22,false,26,26
"01247","North Adams",22,false,26,26
"01252","N Egremont",22,true,26,26
"01252","North Egremont",22,false,26,26
"01253","Otis",22,true,26,26
"01254","Richmond",22,true,26,26
"01255","Sandisfield",22,true,26,26
"01256","Savoy",22,true,26,26
"01257","Sheffield",22,true,26,26
"01258","S Egremont",22,false,26,26
"01258","South Egremont",22,false,26,26
"01258","Mount Washington",22,true,26,26
"01259","Southfield",22,true,26,26
"01260","South Lee",22,true,26,26
"01262","Stockbridge",22,true,26,26
"01263","Stockbridge",22,true,26,26
"01264","Lee",22,true,26,26
"01264","Tyringham",22,false,26,26
"01266","Alford",22,true,26,26
"01266","W Stockbridge",22,false,26,26
"01266","West Stockbridge",22,false,26,26
"01267","Williamstown",22,true,26,26
"01270","Windsor",22,true,26,26
"01284","Chelmsford",22,true,26,26
"01286","Milton",22,true,26,26
"01301","Greenfield",22,true,26,26
"01301","Leyden",22,false,26,26
"01302","Greenfield",22,true,26,26
"01330","Ashfield",22,true,26,26
"01331","Athol",22,true,26,26
"01331","Phillipston",22,false,26,26
"01337","Bernardston",22,true,26,26
"01337","Leyden",22,false,26,26
"01338","Buckland",22,true,26,26
"01339","Charlemont",22,true,26,26
"01339","Hawley",22,false,26,26
"01340","Colrain",22,true,26,26
"01340","Shattuckville",22,false,26,26
"01341","Conway",22,true,26,26
"01342","Deerfield",22,true,26,26
"01343","Drury",22,true,26,26
"01344","Erving",22,true,26,26
"01346","Charlemont",22,true,26,26
"01346","Heath",22,false,26,26
"01347","Lake Pleasant",22,true,26,26
"01349","Millers Falls",22,true,26,26
"01349","Turners Falls",22,false,26,26
"01350","Monroe",22,true,26,26
"01350","Monroe Bridge",22,false,26,26
"01351","Montague",22,true,26,26
"01354","Gill",22,true,26,26
"01354","Mount Hermon",22,false,26,26
"01354","Northfield Mount Hermon",22,false,26,26
"01355","New Salem",22,true,26,26
"01360","Northfield",22,true,26,26
"01364","Orange",22,true,26,26
"01364","Warwick",22,false,26,26
"01366","Petersham",22,true,26,26
"01367","Rowe",22,true,26,26
"01368","Royalston",22,true,26,26
"01368","S Royalston",22,false,26,26
"01370","Shelburne Falls",22,true,26,26
"01370","Shelburne Fls",22,false,26,26
"01373","S Deerfield",22,true,26,26
"01373","South Deerfield",22,false,26,26
"01375","Sunderland",22,true,26,26
"01376","Turners Falls",22,true,26,26
"01378","Warwick",22,false,26,26
"01378","Orange",22,true,26,26
"01379","Wendell",22,true,26,26
"01380","Wendell Depot",22,true,26,26
"01420","Fitchburg",22,true,26,26
"01430","Ashburnham",22,true,26,26
"01431","Ashby",22,true,26,26
"01432","Ayer",22,true,26,26
"01434","Ayer",22,true,26,26
"01434","Devens",22,false,26,26
"01436","Baldwinville",22,true,26,26
"01438","E Templeton",22,true,26,26
"01438","East Templeton",22,false,26,26
